price;Storage_Level;Feed_in;Feed_out;hourly_profit;profit_acc;
    51.00000;     0.99972;     0.00000;     0.00000;     0.00000;   263.96291;
    52.00000;     0.75037;     0.00000;     0.24928;    12.96269;   276.92560;
    52.00000;     0.75032;     0.00000;     0.00000;     0.00000;   276.92560;
    51.00000;     0.75026;     0.00000;     0.00000;     0.00000;   276.92560;
    50.00000;     0.75021;     0.00000;     0.00000;     0.00000;   276.92560;
    48.00000;     0.75016;     0.00000;     0.00000;     0.00000;   276.92560;
    51.00000;     0.75011;     0.00000;     0.00000;     0.00000;   276.92560;
    82.00000;     0.50005;     0.00000;     0.25000;    20.50000;   297.42560;
    88.00000;     0.25002;     0.00000;     0.25000;    22.00000;   319.42560;
    59.00000;     0.00000;     0.00000;     0.25000;    14.75000;   334.17560;
    50.00000;     0.00000;     0.00000;     0.00000;     0.00000;   334.17560;
    40.00000;     0.00000;     0.00000;     0.00000;     0.00000;   334.17560;
    42.00000;     0.00000;     0.00000;     0.00000;     0.00000;   334.17560;
    35.00000;     0.25000;     0.25000;     0.00000;   -10.60606;   323.56954;
    39.00000;     0.24998;     0.00000;     0.00000;     0.00000;   323.56954;
    35.00000;     0.49997;     0.25000;     0.00000;   -10.60606;   312.96348;
    37.00000;     0.74993;     0.25000;     0.00000;   -11.21212;   301.75136;
    39.00000;     0.74988;     0.00000;     0.00000;     0.00000;   301.75136;
    38.00000;     0.99983;     0.25000;     0.00000;   -11.51515;   290.23621;
    39.00000;     1.00000;     0.00024;     0.00000;    -0.01158;   290.22463;
    44.00000;     1.00000;     0.00007;     0.00000;    -0.00373;   290.22089;
    57.00000;     1.00000;     0.00007;     0.00000;    -0.00484;   290.21606;
    72.00000;     0.75011;     0.00000;     0.24982;    17.98740;   308.20346;
    74.00000;     0.50005;     0.00000;     0.25000;    18.50000;   326.70346;
    83.00000;     0.25002;     0.00000;     0.25000;    20.75000;   347.45346;
    73.00000;     0.00000;     0.00000;     0.25000;    18.25000;   365.70346;
    65.00000;     0.00000;     0.00000;     0.00000;     0.00000;   365.70346;
    54.00000;     0.00011;     0.00011;     0.00000;    -0.00687;   365.69658;
    53.00000;     0.25011;     0.25000;     0.00000;   -16.06061;   349.63598;
    54.00000;     0.50009;     0.25000;     0.00000;   -16.36364;   333.27234;
